T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_SMARTOPS
4010400218,SPECIAL K BKFST HANDHELD,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010400272,LICENSED FROZEN MEALS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010400284,FROZEN AM BAKERY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010500167,EGGO FRENCH TOAST,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010500201,CINNABON FRENCH TOAST,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010600307,EGGO STUFFED,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4010999999,FROZEN BREAKFAST PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,EGGO
4020100168,WORTHINGTON FOODS - CANNED,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020100169,LOMA LINDA - CANNED,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020150170,GB VEGGIE BURGERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020150171,MSF VEGGIE BURGERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020150291,DO NOT USE - INCOG BURGERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020200172,GB POULTRY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020200173,MSF POULTRY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020200296,DO NOT USE - INCOG POULTRY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020250174,MSF HOT DOGS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020250292,DO NOT USE - INCOG SAUSAGE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020300175,MSF CORN DOGS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020350176,GB HANDHELDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020350251,MSF HANDHELDS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020400177,GB BREAKFAST,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020400178,MSF BREAKFAST,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020450179,GB MEAL SOLUTIONS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020450180,MSF MEAL SOLUTIONS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020450293,DO NOT USE - INCOG MEAL SOLUTIONS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020450304,PRIVATE LABEL MEAL SOLUTIONS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020500181,GB - OTHER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020500182,MSF - OTHER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020500183,MSF ORGANIC - OTHER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020500184,WORTHINGTON FOODS - OTHER,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020550192,MSF ENTREES,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4020999999,VEGGIE PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4030500185,KASHI PIZZA,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
4030550186,KASHI ENTRÉE'S,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
4030600240,KASHI SOUP,SMARTOPS,SMARTOPS_SUPPLYCHAIN,KASHI
4030999999,FROZEN MEALS PRODUCT RESERVE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4040500298,INCOGMEATO BURGERS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4040500299,INCOGMEATO GROUND,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4040550300,INCOGMEATO CHICKEN,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4040550301,DO NOT USE - INCOGMEATO TNDRS,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4040600302,INCOGMEATO SAUSAGE,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4040650305,INCOGMEATO FROZEN BREAKFAST,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
4040700306,INCOGMEATO FRESH BREAKFAST,SMARTOPS,SMARTOPS_SUPPLYCHAIN,WFDS
5010100281,JOYBOL,SMARTOPS,SMARTOPS_SUPPLYCHAIN,CEREAL
5020200297,LEAF JERKY,SMARTOPS,SMARTOPS_SUPPLYCHAIN,OTHER CONVENIENCE
