CLASS_TYPE,CHAR_NAME,CHAR_VALUE,ABBREVIATION,INACTIVE
PROMOTION,LONG_DESCRIPTION,KROGER RESOLUTION,KR RES,
PROMOTION,LONG_DESCRIPTION,LCL EDUCATION EVENT,LCL EDCTN EVNT,
PROMOTION,LONG_DESCRIPTION,LCL NO COUPON,LCL NO CPN,
PROMOTION,LONG_DESCRIPTION,LCL NO COUPONS,LCL NO CPNS,
PROMOTION,LONG_DESCRIPTION,LICENSED ROTATIONAL,LIC ROTL,
PROMOTION,LONG_DESCRIPTION,LIGHTYEAR,LTYR,
PROMOTION,LONG_DESCRIPTION,M&M IRC,M&M IRC,
PROMOTION,LONG_DESCRIPTION,MAJOR LEAGUE SOCCER,MLS,
PROMOTION,LONG_DESCRIPTION,MANDOLORIAN,MNDLRN,
PROMOTION,LONG_DESCRIPTION,MARCH BASKETBALL,MRCH BBLL,
PROMOTION,LONG_DESCRIPTION,MARS & M&M'S,MARS M&M,
PROMOTION,LONG_DESCRIPTION,MARSHMALLOW IRC,MARSH IRC,
PROMOTION,LONG_DESCRIPTION,MARVEL,MARVL,
PROMOTION,LONG_DESCRIPTION,MCDONALDS,MCDON,
PROMOTION,LONG_DESCRIPTION,MEDITATION,MDTTN,
PROMOTION,LONG_DESCRIPTION,MEIJER,MEIJER,
PROMOTION,LONG_DESCRIPTION,MEIJER BACK TO SCHOOL,MJR BTS,
PROMOTION,LONG_DESCRIPTION,MEIJER CIAC 4PK,MEIJER CIAC 4pk,
PROMOTION,LONG_DESCRIPTION,MEIJER OLYMPIC,MEIJER OLY,
PROMOTION,LONG_DESCRIPTION,MEIJER XBOX,MJR XBOX,
PROMOTION,LONG_DESCRIPTION,MELODY2,MLDY2,
PROMOTION,LONG_DESCRIPTION,MEMBERS MARK,MEM MA,
PROMOTION,LONG_DESCRIPTION,METRO,METRO,
PROMOTION,LONG_DESCRIPTION,METRO SCAN & WIN,MSCWN,
PROMOTION,LONG_DESCRIPTION,MICHELIN,MICHELIN,
PROMOTION,LONG_DESCRIPTION,MICKEY,MCKY,
PROMOTION,LONG_DESCRIPTION,MILK IRC,MLK IRC,
PROMOTION,LONG_DESCRIPTION,MINECRAFT,MNCRFT,
PROMOTION,LONG_DESCRIPTION,MIRAC,MIRAC,
PROMOTION,LONG_DESCRIPTION,MLB,MLB,
PROMOTION,LONG_DESCRIPTION,MLS,MLS,
PROMOTION,LONG_DESCRIPTION,MONSTERS UNIVERSITY,MNSTR U,
PROMOTION,LONG_DESCRIPTION,MORE FROSTING,MRE FRSTNG,
PROMOTION,LONG_DESCRIPTION,MOVIE CASH,MV CSH,
PROMOTION,LONG_DESCRIPTION,MW TRY IT HOT,MW TRY IT HT,
PROMOTION,LONG_DESCRIPTION,MYSTERY POP-TARTS,MSTRY PT,
PROMOTION,LONG_DESCRIPTION,NATIONAL BREAKFAST DAY (GENERA,NBD,
PROMOTION,LONG_DESCRIPTION,NATIONAL BREAKFAST DAY (GENERAL),NBD,
