T179_STUFE_LEVEL,T179_PRODH_NUM,T179T_VTEXT_DESC,INACTIVE,CHAR_VALUE
5,20101000520044,POP-TARTS POPPERS SPECIAL PK,,SPECIAL PK
6,201010005200440001,POP-TARTS POPPERS SPECIAL PK P1,,P1
6,201010005200440002,POP-TARTS POPPERS SPECIAL PK P2,,P2
6,201010005200440003,POP-TARTS POPPERS SPECIAL PK P3,,P3
6,201010005200440004,POP-TARTS POPPERS SPECIAL PK P4,,P4
6,201010005200440005,POP-TARTS POPPERS SPECIAL PK P5,,P5
6,201010005200440006,POP-TARTS POPPERS SPECIAL PK P6,,P6
5,20101000520045,POP-TARTS POPPERS CLUB PK,,CLUB PK
6,201010005200450001,POP-TARTS POPPERS CLUB PK P1,,P1
6,201010005200450002,POP-TARTS POPPERS CLUB PK P2,,P2
6,201010005200450003,POP-TARTS POPPERS CLUB PK P3,,P3
6,201010005200450004,POP-TARTS POPPERS CLUB PK P4,,P4
