T179_PRODH_BRAND,T179T_VTEXT_BRAND_DESC,CLASS_TYPE,CHAR_NAME,CHAR_VALUE_MFG_CO,COUNTRY,MFG_CO_ABBREV,MFG_COMMENT,INACTIVE,PRIVATE_LABEL
2050100131,KASHI CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100131,KASHI CEREAL BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050100194,BE NATURAL BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100194,BE NATURAL BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050100204,KASHI SOFT N CHEWY BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100204,KASHI SOFT N CHEWY BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050100289,KASHI BITES,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050100289,KASHI BITES,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050200132,KASHI LAYERED BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200132,KASHI LAYERED BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050200133,BEAR NAKED BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200133,BEAR NAKED BARS,FINISHED_GOODS,MFG_COMPANY,BEAR NAKED,US,,,,
2050200134,FIBER PLUS BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200134,FIBER PLUS BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050200135,SWEET & SALTY BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200135,SWEET & SALTY BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050200136,KASHI CHEWY BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200136,KASHI CHEWY BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050200195,KASHI CRUNCHY BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200195,KASHI CRUNCHY BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050200196,Kellogg GRANOLA BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200196,Kellogg GRANOLA BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050200197,KELLOGG GRANOLA MUNCH'EMS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200197,KELLOGG GRANOLA MUNCH'EMS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050200207,KASHI MIXED BRANDS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200207,KASHI MIXED BRANDS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050200210,SPECIAL K GRANOLA BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200210,SPECIAL K GRANOLA BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050200227,GIRL SCOUT GRANOLA BAR,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200227,GIRL SCOUT GRANOLA BAR,FINISHED_GOODS,MFG_COMPANY,MURRAY,US,,,,
2050200232,NUTRI-GRAIN GRANOLA BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200232,NUTRI-GRAIN GRANOLA BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050200258,KASHI ORGANIC CHEWY BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050200258,KASHI ORGANIC CHEWY BARS,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050300137,RKT SQUARES,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050300137,RKT SQUARES,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050300138,RKT CRUNCH MIX,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050300138,RKT CRUNCH MIX,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050300216,KASHI SOFT BAKED SQUARES,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050300216,KASHI SOFT BAKED SQUARES,FINISHED_GOODS,MFG_COMPANY,KASHI,US,,,,
2050300254,KRAVE TREAT BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050300254,KRAVE TREAT BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050300263,PURE ANCIENT GRAINS BAR,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050300263,PURE ANCIENT GRAINS BAR,FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,US,,,,
2050300264,PURE 100 CAL BAR,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050300264,PURE 100 CAL BAR,FINISHED_GOODS,MFG_COMPANY,PURE ORGANIC,US,,,,
2050300283,RKT POPPERS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050300283,RKT POPPERS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400139,ALL BRAN FIBER BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400139,ALL BRAN FIBER BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400140,SPECIAL K PROTEIN BARS,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400140,SPECIAL K PROTEIN BARS,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
2050400141,LIVE BRIGHT,FINISHED_GOODS,MFG_COMPANY,CANADA,CA,,,,
2050400141,LIVE BRIGHT,FINISHED_GOODS,MFG_COMPANY,KELLOGG'S,US,,,,
